military,emergency,mandatory
armed_forces,Emergency,compulsory
army,emergencies,Mandatory
miltary,emer_gency,mandating
naval,emegency,requirement
civilian,emergeny,mandated
Military,nonemergency,Compulsory
militarys,ambulance,voluntary
Army,nonemergencies,manditory
miliary,technician_Tim_Rujan,obligatory
Armed_Forces,EMERGENCY,stricter
Pentagon,_Allow_eavesdropping,federally_mandated
generals,emergancy,minimum
soldiers,director_Steve_Cirinna,compulsary
navy,emergency_responders,required
troops,Medic_Mecklenburg,mininum
militaries,Tammy_Lapp,requiring
Marine_Corps,Actor_Randolph_Mantooth,mandates
Air_Force,Doc_Nunnery,optional
commanders,presidentially_declared_energy,mandatorily
mili_tary,STARFlight,stringent
